index,date_time,open,high,low,close,buyer,seller,value,delta_type
376,2023-06-09 18:15:00,165.54,165.8,165.52,165.57,80090,207520,287610,buyer
377,2023-06-09 18:30:00,165.56,165.65,165.37,165.43,94300,193100,287400,buyer
378,2023-06-09 18:45:00,165.47,165.47,165.47,165.47,0,79650,79650,buyer
379,2023-06-09 19:00:00,165.77,165.77,165.32,165.42,59970,162510,222480,buyer
380,2023-06-09 19:15:00,165.42,165.45,165.33,165.38,76470,110070,186540,buyer
381,2023-06-09 19:30:00,165.42,165.42,164.97,164.97,248550,291740,540290,buyer
382,2023-06-09 19:45:00,164.97,165.21,164.94,165.21,78070,113820,191890,buyer
383,2023-06-09 20:00:00,165.15,165.39,165.15,165.28,55010,90870,145880,buyer
384,2023-06-09 20:15:00,165.25,165.37,165.22,165.22,51880,57130,109010,buyer
385,2023-06-09 20:30:00,165.22,165.3,165.15,165.3,27890,31660,59550,buyer
386,2023-06-09 20:45:00,165.3,165.48,165.27,165.47,17570,81850,99420,buyer
387,2023-06-09 21:00:00,165.47,165.68,165.4,165.65,21760,219080,240840,buyer
388,2023-06-09 21:15:00,165.64,165.65,165.55,165.65,26220,71660,97880,buyer
389,2023-06-09 21:30:00,165.65,166.1,165.63,165.94,32080,235280,267360,buyer
390,2023-06-09 21:45:00,165.95,165.96,165.75,165.87,44820,60620,105440,buyer
391,2023-06-09 22:00:00,165.87,165.9,165.37,165.46,92890,104590,197480,buyer
392,2023-06-09 22:15:00,165.41,165.8,165.15,165.65,96360,353570,449930,buyer
393,2023-06-09 22:30:00,165.65,165.65,165.36,165.53,28940,56920,85860,buyer
394,2023-06-09 22:45:00,165.53,165.62,165.53,165.6,16610,25790,42400,buyer
395,2023-06-09 23:00:00,165.6,165.84,165.6,165.6,33960,93300,127260,buyer
396,2023-06-09 23:15:00,165.59,165.76,165.56,165.7,23910,59970,83880,buyer
397,2023-06-09 23:30:00,165.7,165.75,165.52,165.54,64350,96850,161200,buyer
398,2023-06-09 23:45:00,165.52,165.59,165.51,165.58,23990,28900,52890,buyer
399,2023-06-13 09:45:00,165.62,165.62,165.62,165.62,0,146530,146530,buyer
400,2023-06-13 10:00:00,165.65,166.62,165.65,166.29,277900,1429020,1706920,buyer
401,2023-06-13 10:15:00,166.27,166.48,166.0,166.37,176560,710220,886780,buyer
402,2023-06-13 10:30:00,166.37,167.1,166.37,166.92,270170,777290,1047460,buyer
403,2023-06-13 10:45:00,166.9,167.0,166.6,166.75,213470,263340,476810,buyer
404,2023-06-13 11:00:00,166.75,167.25,166.74,167.25,166890,678200,845090,buyer
405,2023-06-13 11:15:00,167.23,167.3,166.71,166.91,153380,549790,703170,buyer
406,2023-06-13 11:30:00,166.9,167.05,166.8,166.83,68050,179840,247890,buyer
407,2023-06-13 11:45:00,166.87,167.09,166.77,167.09,65430,314480,379910,buyer
408,2023-06-13 12:00:00,167.08,167.2,166.67,166.71,131710,491990,623700,buyer
409,2023-06-13 12:15:00,166.72,167.0,166.68,166.76,82130,273500,355630,buyer
410,2023-06-13 12:30:00,166.76,166.95,166.66,166.83,51140,216000,267140,buyer
411,2023-06-13 12:45:00,166.85,166.85,166.61,166.68,80810,239370,320180,buyer
412,2023-06-13 13:00:00,166.68,166.85,166.67,166.85,66300,219590,285890,buyer
413,2023-06-13 13:15:00,166.84,166.92,166.5,166.59,123700,227350,351050,buyer
414,2023-06-13 13:30:00,166.58,166.9,166.38,166.8,78620,335440,414060,buyer
415,2023-06-13 13:45:00,166.8,166.95,166.75,166.89,68510,231100,299610,buyer
416,2023-06-13 14:00:00,166.88,167.0,166.75,166.99,76410,350090,426500,buyer
417,2023-06-13 14:15:00,166.99,167.06,166.91,167.0,122550,396760,519310,buyer
418,2023-06-13 14:30:00,167.0,167.5,166.92,167.5,86870,974560,1061430,buyer
419,2023-06-13 14:45:00,167.5,167.53,167.01,167.1,218770,578650,797420,buyer
420,2023-06-13 15:00:00,167.1,167.45,167.09,167.3,64870,296270,361140,buyer
421,2023-06-13 15:15:00,167.3,167.49,167.29,167.48,84510,291870,376380,buyer
422,2023-06-13 15:30:00,167.48,167.72,167.45,167.71,109550,467110,576660,buyer
423,2023-06-13 15:45:00,167.7,167.84,167.62,167.83,102240,393210,495450,buyer
424,2023-06-13 16:00:00,167.83,167.84,167.47,167.7,140570,460360,600930,buyer
425,2023-06-13 16:15:00,167.7,167.88,167.68,167.87,74020,458280,532300,buyer
426,2023-06-13 16:30:00,167.87,168.0,167.8,167.93,171150,828880,1000030,buyer
427,2023-06-13 16:45:00,167.94,167.95,167.56,167.73,102650,349680,452330,buyer
428,2023-06-13 17:00:00,167.72,167.75,167.33,167.43,91160,187500,278660,buyer
429,2023-06-13 17:15:00,167.37,167.45,167.2,167.39,142760,313170,455930,buyer
430,2023-06-13 17:30:00,167.39,167.45,167.28,167.42,43470,152560,196030,buyer
431,2023-06-13 17:45:00,167.42,167.43,167.16,167.29,61900,142790,204690,buyer
432,2023-06-13 18:00:00,167.29,167.66,167.26,167.58,78960,188020,266980,buyer
433,2023-06-13 18:15:00,167.57,167.78,167.53,167.78,39390,124530,163920,buyer
434,2023-06-13 18:30:00,167.75,167.95,167.71,167.93,100650,221350,322000,buyer
435,2023-06-13 18:45:00,168.0,168.0,168.0,168.0,0,348660,348660,buyer
436,2023-06-13 19:00:00,168.0,168.4,167.85,168.33,113230,380930,494160,buyer
437,2023-06-13 19:15:00,168.33,168.33,167.61,167.87,144040,350910,494950,buyer
438,2023-06-13 19:30:00,167.86,167.86,167.68,167.85,74310,135240,209550,buyer
439,2023-06-13 19:45:00,167.84,167.95,167.8,167.9,42870,122340,165210,buyer
440,2023-06-13 20:00:00,167.9,167.94,167.87,167.92,26240,22050,48290,seller
